Title,Price,Stock
OIL LAMP PRESSURE LAMP GLASS - 242/249 Pressure Lamp Glass,0,116
"OIL LAMP CHIMNEY - 3"" Flair Top Chimney",0,288
"OIL LAMP CHIMNEY - 3x10"" Comet Chimney",0,50
"OIL LAMP CHIMNEY - 3x12"" Comet Chimney",0,210
"OIL LAMP CHIMNEY - 3"" Crimp Chimney",0,528
"OIL LAMP CHIMNEY - 2.5"" Crimp Chimney",0,256
"OIL LAMP CHIMNEY - 2.5"" Crystal Cut Chimney Crimped Top",0,312
"OIL LAMP CHIMNEY - 3"" Frosted Chimney",0,360
"OIL LAMP CHIMNEY - 2.5"" Frosted Chimney",0,504
OIL LAMP CHIMNEY - Miller No. 0 Chimney Clear,0,360
OIL LAMP CHIMNEY - Miller No. 1 Chimney Clear,0,96
OIL LAMP CHIMNEY - Miller No. 2 Chimney Clear,0,100
OIL LAMP CHIMNEY - Kosmos Chimney 6''' (ligne) Clear,0,238
OIL LAMP CHIMNEY - Marine Gimbal Chimney Large,0,72
OIL LAMP CHIMNEY - Marine Gimbal Chimney Small,0,72
OIL LAMP CHIMNEY - Matador Chimney,0,240
OIL LAMP CHIMNEY - Lip Chimney Large,0,648
OIL LAMP CHIMNEY - Lip Chimney Small,0,280
OIL LAMP CHIMNEY - Loxon Chimney (to suit Aladdin Style Lamps),0,150
OIL LAMP CHIMNEY - Liverpool Chimney Small,0,492
OIL LAMP CHIMNEY - Liverpool Chimney Large,0,261
"Veritas Mantles ""Not Broken!"" No. 2 — Original Enamel Advertising Sign",0,15
OIL LAMP PRESSURE LAMP GLASS - Aladdin Pink Round Glass (to suit Aladdin Style Lamps),0,21
OIL LAMP GLASS - Red Rectangular VW Lens,0,96
OIL LAMP SHADE - Hinks Lollipop Shade (Opal Glass),0,4
"OIL LAMP SHADE - 11"" Sample Shade (Opal Glass)",0,5
OIL LAMP PRESSURE LAMP GLASS - Tilley Pressure Lamp Glass (Samples),0,48
